Brand;Model;Price;Price;Availability;Useable Battery;Charge Speed;Acceleration 0 - 100 km/h;Top Speed;Total Power;Electric Range;Vehicle Consumption;Length;Width;Height;Cargo Volume;Towing Weight Braked;Seats;
Tesla;Tesla Model 3 Standard Range Plus(PANA 2170L);€45,560;€45,560;Feb 2021 - Dec 2021;51.0 kWh;64 km/h;5.6 sec;225 km/h;208 kW (283 PS);350 km;146 Wh/km;4694 mm;2088 mm;1443 mm;88 L;1000 kg;5 people;
Lynk&Co;Lynk&Co 02;€35,995;€35,995;Since January 2025;65.0 kWh;53 km/h;5.5 sec;180 km/h;200 kW (272 PS);370 km;176 Wh/km;4460 mm;No Data;1573 mm;15 L;1600 kg;5 people;
BYD;BYD ATTO 2;€31,990;€31,990;Since March 2025;45.1 kWh;51 km/h;7.9 sec;160 km/h;130 kW (177 PS);245 km;184 Wh/km;4310 mm;2060 mm;1675 mm;No Data;750 kg;5 people;
Renault;Renault 5 E-Tech 52kWh 150hp;€32,900;€32,900;Since June 2024;52.0 kWh;60 km/h;8.0 sec;150 km/h;110 kW (150 PS);335 km;155 Wh/km;3922 mm;2020 mm;1498 mm;No Data;500 kg;5 people;
Audi;Audi e-tron 50 quattro;€69,100;€69,100;Mar 2020 - Sep 2021;64.7 kWh;40 km/h;6.8 sec;190 km/h;230 kW (313 PS);280 km;231 Wh/km;4901 mm;2192 mm;1616 mm;No Data;1800 kg;5 people;
Tesla;Tesla Model 3 Long Range RWD(Highland);€44,990;€44,990;Oct 2024 - Oct 2025;75.0 kWh;69 km/h;5.2 sec;201 km/h;235 kW (320 PS);550 km;136 Wh/km;4720 mm;2089 mm;1441 mm;88 L;1000 kg;5 people;
BYD;BYD SEALION 7 91.3 kWh AWD Excellence;€58,990;€58,990;Since December 2024;91.3 kWh;45 km/h;4.5 sec;215 km/h;390 kW (530 PS);440 km;208 Wh/km;4830 mm;2189 mm;1620 mm;58 L;1500 kg;5 people;
BMW;BMW iX xDrive40;€77,300;€77,300;Nov 2021 - Jan 2025;71.0 kWh;47 km/h;6.1 sec;200 km/h;240 kW (326 PS);360 km;197 Wh/km;4953 mm;2230 mm;1695 mm;No Data;2500 kg;5 people;
Tesla;Tesla Model 3 Long Range RWD(Highland);€45,970;€45,970;Since October 2025;79.0 kWh;69 km/h;5.2 sec;201 km/h;235 kW (320 PS);580 km;136 Wh/km;4720 mm;2089 mm;1441 mm;88 L;1000 kg;5 people;
CUPRA;CUPRA Born 170 kW - 77 kWh;€46,450;€46,450;Mar 2022 - Jun 2024;77.0 kWh;55 km/h;7.0 sec;160 km/h;170 kW (231 PS);450 km;171 Wh/km;4322 mm;2070 mm;1540 mm;0 L;0 kg;4 people;
BYD;BYD ATTO 3(MY23-24);€37,990;€37,990;Mar 2023 - Apr 2025;60.5 kWh;51 km/h;7.3 sec;160 km/h;150 kW (204 PS);330 km;183 Wh/km;4455 mm;2050 mm;1615 mm;0 L;0 kg;5 people;
Audi;Audi A6 Sportback e-tron performance;€75,600;€75,600;Since September 2024;94.9 kWh;59 km/h;5.4 sec;210 km/h;280 kW (381 PS);600 km;158 Wh/km;4928 mm;2137 mm;1455 mm;27 L;2100 kg;5 people;
Tesla;Tesla Model 3 Performance(Highland);€59,470;€59,470;Since October 2025;79.0 kWh;61 km/h;3.4 sec;262 km/h;461 kW (627 PS);515 km;153 Wh/km;4720 mm;2089 mm;1431 mm;88 L;0 kg;5 people;
Tesla;Tesla Model Y Premium AWD(Juniper);€53,970;€53,970;Since October 2025;79.0 kWh;56 km/h;4.8 sec;201 km/h;378 kW (514 PS);475 km;166 Wh/km;4790 mm;2129 mm;1624 mm;117 L;1600 kg;5 people;
Hyundai;Hyundai IONIQ 5 63 kWh RWD(MY24);€43,900;€43,900;Since August 2024;60.0 kWh;54 km/h;8.5 sec;185 km/h;125 kW (170 PS);345 km;174 Wh/km;4655 mm;2152 mm;1605 mm;57 L;750 kg;5 people;
Omoda;Omoda E5;Not Available;Not Available;Not Available;58.9 kWh;52 km/h;7.6 sec;172 km/h;155 kW (211 PS);330 km;178 Wh/km;4424 mm;2102 mm;1588 mm;No Data;0 kg;5 people;
Polestar;Polestar 2 Long Range Dual Motor;€54,995;€54,995;Sep 2021 - Jan 2023;75.0 kWh;49 km/h;4.7 sec;205 km/h;300 kW (408 PS);390 km;192 Wh/km;4607 mm;1985 mm;1479 mm;35 L;1500 kg;5 people;
Citroën;Citroën C5 Aircross Long Range;Not Available;Not Available;Not Available;96.9 kWh;47 km/h;8.8 sec;170 km/h;170 kW (231 PS);485 km;200 Wh/km;4652 mm;2108 mm;1692 mm;0 L;1200 kg;5 people;
Škoda;Škoda Enyaq 85(MY25);€48,900;€48,900;Since January 2025;77.0 kWh;55 km/h;6.7 sec;180 km/h;210 kW (286 PS);455 km;169 Wh/km;4658 mm;2148 mm;1622 mm;0 L;1000 kg;5 people;
BYD;BYD SEAL 82.5 kWh RWD Design;€48,990;€48,990;Since October 2023;82.5 kWh;54 km/h;5.9 sec;180 km/h;230 kW (313 PS);480 km;172 Wh/km;4800 mm;2150 mm;1460 mm;53 L;750 kg;5 people;
XPENG;XPENG G6 RWD Long Range(MY24);€47,600;€47,600;Sep 2024 - Aug 2025;87.5 kWh;51 km/h;6.7 sec;200 km/h;210 kW (286 PS);480 km;182 Wh/km;4753 mm;No Data;1650 mm;No Data;1500 kg;5 people;
Tesla;Tesla Model 3 Long Range AWD;€55,480;€55,480;Feb 2019 - Oct 2020;73.5 kWh;58 km/h;4.6 sec;233 km/h;324 kW (441 PS);455 km;162 Wh/km;4694 mm;2088 mm;1443 mm;No Data;1000 kg;5 people;
Kia;Kia EV9 99.8 kWh AWD;€68,990;€68,990;Since September 2023;96.0 kWh;42 km/h;6.0 sec;200 km/h;283 kW (385 PS);435 km;221 Wh/km;5010 mm;2263 mm;1755 mm;52 L;2500 kg;7 people;
Tesla;Tesla Model 3 RWD(CATL LFP60);€44,668;€44,668;Jan 2022 - Aug 2023;57.0 kWh;66 km/h;6.1 sec;225 km/h;208 kW (283 PS);400 km;143 Wh/km;4694 mm;2088 mm;1443 mm;88 L;1000 kg;5 people;
Audi;Audi A6 Avant e-tron performance;€77,250;€77,250;Since September 2024;94.9 kWh;57 km/h;5.4 sec;210 km/h;280 kW (381 PS);575 km;165 Wh/km;4928 mm;2137 mm;1455 mm;27 L;2100 kg;5 people;
Peugeot;Peugeot e-3008 73 kWh;€48,750;€48,750;Since November 2023;73.0 kWh;49 km/h;8.8 sec;170 km/h;157 kW (213 PS);380 km;192 Wh/km;4542 mm;No Data;1641 mm;0 L;1250 kg;5 people;
Hyundai;Hyundai IONIQ 5 84 kWh RWD(MY24);€51,650;€51,650;Since August 2024;80.0 kWh;53 km/h;7.5 sec;185 km/h;168 kW (228 PS);450 km;178 Wh/km;4655 mm;2152 mm;1605 mm;57 L;1600 kg;5 people;
Peugeot;Peugeot e-2008 54 kWh;€40,550;€40,550;Since September 2023;50.8 kWh;37 km/h;9.1 sec;150 km/h;115 kW (156 PS);300 km;169 Wh/km;4304 mm;1987 mm;1523 mm;0 L;0 kg;5 people;
Mercedes-Benz;Mercedes-Benz EQS 450+;€109,551;€109,551;Since April 2024;118.0 kWh;54 km/h;6.2 sec;210 km/h;265 kW (360 PS);685 km;172 Wh/km;5223 mm;2125 mm;1518 mm;0 L;750 kg;5 people;
Polestar;Polestar 2 Long Range Single Motor;€50,995;€50,995;Sep 2021 - Jan 2023;75.0 kWh;52 km/h;7.4 sec;160 km/h;170 kW (231 PS);420 km;179 Wh/km;4607 mm;1985 mm;1479 mm;35 L;1500 kg;5 people;
Renault;Renault Zoe ZE50 R110;€36,840;€36,840;Nov 2019 - May 2024;52.0 kWh;110 km/h;11.4 sec;135 km/h;80 kW (109 PS);315 km;165 Wh/km;4087 mm;1945 mm;1562 mm;0 L;0 kg;5 people;
BMW;BMW iX3 50 xDrive(MY26);€68,900;€68,900;Since September 2025;108.7 kWh;52 km/h;4.9 sec;210 km/h;345 kW (469 PS);610 km;178 Wh/km;4782 mm;2093 mm;1635 mm;58 L;2000 kg;5 people;
BMW;BMW iX3(MY22-24);€67,300;€67,300;Sep 2021 - Oct 2024;74.0 kWh;49 km/h;6.8 sec;180 km/h;210 kW (286 PS);385 km;192 Wh/km;4734 mm;2138 mm;1668 mm;0 L;750 kg;5 people;
Kia;Kia EV3 Long Range;€41,390;€41,390;Since August 2024;78.0 kWh;55 km/h;7.7 sec;170 km/h;150 kW (204 PS);455 km;171 Wh/km;4300 mm;No Data;1560 mm;25 L;1000 kg;5 people;
MG;MG MG4 Electric 64 kWh;€39,990;€39,990;Since October 2022;61.7 kWh;33 km/h;7.9 sec;160 km/h;150 kW (204 PS);360 km;171 Wh/km;4287 mm;2060 mm;1504 mm;0 L;500 kg;5 people;
Audi;Audi e-tron 55 quattro;€81,500;€81,500;Dec 2020 - Aug 2022;86.5 kWh;39 km/h;5.7 sec;200 km/h;300 kW (408 PS);365 km;237 Wh/km;4901 mm;2192 mm;1616 mm;No Data;1800 kg;5 people;
Volkswagen;Volkswagen ID.4 Pro Performance;€46,335;€46,335;Jan 2021 - Oct 2023;77.0 kWh;50 km/h;8.5 sec;160 km/h;150 kW (204 PS);410 km;188 Wh/km;4584 mm;No Data;1631 mm;0 L;1000 kg;5 people;
Smart;Smart #5 Premium(MY25);€55,400;€55,400;Since May 2025;94.0 kWh;93 km/h;6.5 sec;200 km/h;267 kW (363 PS);465 km;202 Wh/km;4695 mm;2169 mm;1705 mm;72 L;1600 kg;5 people;
Tesla;Tesla Model Y Long Range RWD(Juniper);€50,970;€50,970;Feb 2025 - Oct 2025;75.0 kWh;59 km/h;5.6 sec;201 km/h;250 kW (340 PS);470 km;160 Wh/km;4790 mm;2129 mm;1624 mm;117 L;1600 kg;5 people;
Kia;Kia Niro EV;€45,690;€45,690;Since June 2022;64.8 kWh;56 km/h;7.8 sec;167 km/h;150 kW (204 PS);385 km;168 Wh/km;4420 mm;No Data;1570 mm;20 L;750 kg;5 people;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
Request;Request blocked;
